Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0603,2,1u,
"C10, C6, C8, C9",0603,4,100n,
"C11, C7",0603,2,10n,
"C12, C15",0603,2,10uF,
"C13, C14",0603,2,100nF,
"C2, C3",CP_Elec_4x5.4,2,10u,
C5,CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder,1, ,
D1,D_SOD-123,1,1N5819,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad,4,MountingHole_Pad,
J1,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,VIN,
J2,USB-C-16pin-hight-v2,1, ,
J3,1.14_TFT_Display,1,Conn_01x08,
J4,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,TC1,
J5,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,TC2,
J6,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,SSR1,
J7,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,SSR2,
J8,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,SSR3,
"JP1, JP2",SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,2, ,
"L1, L2, L3, L4",0603,4,ferrite,
LS1,Buzzer_12x9.5RM7.6,1,Speaker,
Q1,SOT-23_Handsoldering,1,AO3407,
"Q2, Q3, Q4",TO-252-2,3,IRLR2905Z,
Q5,SOT-23_Handsoldering,1,BSS138,
"Q7, Q8",SOT-23_Handsoldering,2,2N3904,
R1,0603,1,100K,
"R10, R11",0603,2,R_Small,
R12,0603,1,??,
"R13, R14, R15, R16, R2, R24, R25, R3, R4, R5, R6, R7",0603,12,10k,
"R17, R18",0603,2,5k1,
R19,0603,1,22k1,
R20,0603,1,47k5,
"R21, R23",0603,2,22r,
R22,0603,1,1k,
"R8, R9",0603,2,5k,
"SW1, SW2",SW_PUSH_6mm_H13mm,2, ,
SW3,SW_SPST_B3U-1000P,1,SW_RESET,
SW4,SW_SPST_B3U-1000P,1,SW_BOOT,
SW5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1, ,
U1,YAAJ_DCDC_StepDown_LM2596,1,YAAJ_DCDC_StepDown_LM2596,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias,1,CP2102-GM,
"U4, U6",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX31855KASA,
U5,ESP32-WROOM-32,1,ESP32-WROOM-32,
